brand,app_name,data_source,review_date,rating,review_text,date_precision
Caesars Entertainment,Caesars Rewards,google_play,2026-03-07 06:34:05,1.0,I was told if I download the app they would give em free play. I never had an account B4 or the app. I did what they said then they wouldn't give it to me .,exact
Caesars Entertainment,Caesars Rewards,google_play,2026-03-06 21:05:40,1.0,"App is almost useless, multi billion dollar company and app barely works in 2026. Good for checking offers, tier and rewards credits but good luck booking a room, signs you out and can't sign back in. Also if you have a travel companion it removes them and you have to re-enter that information as well, fun times.",exact
Caesars Entertainment,Caesars Rewards,apple_app_store,2026-03-06 19:45:23,1.0,Now they’ve removed the host button. As often as they change hosts that’s not a good thing to remove.  Caesar’s used to be the best on taking care of those that higher tiered. Not anymore.,exact
Caesars Entertainment,Caesars Rewards,apple_app_store,2026-03-06 18:14:37,1.0,"App update 
Your app hasn’t updated in over a month. I had comped nights now none. I have emails about monthly comped rooms but nothing showing in the app. Your app has a glitch. Please fix it.",exact
Caesars Entertainment,Caesars Rewards,apple_app_store,2026-03-03 20:58:49,1.0,"Unsure of why this is not a bigger issue. Maybe it’s because the company cares about money only and knows that regardless of complaints.. people will still flock to them since prices are a catch. 
It’s exhausting with this app because it SHOULD be easier. I should NOT have to log in every. single. time. just so I can access my account. It also RARELY works and just does a pop up browser anyways. Do BETTER.",exact
Caesars Entertainment,Caesars Rewards,google_play,2026-02-26 18:19:02,5.0,love it 😀,exact
Caesars Entertainment,Caesars Rewards,google_play,2026-02-23 21:34:09,1.0,"give me my money back! false menu advertisement, charged me for it, and didn't offer a solution",exact
Caesars Entertainment,Caesars Rewards,google_play,2026-02-23 13:44:53,4.0,the rooms are great there !!,exact
Caesars Entertainment,Caesars Rewards,google_play,2026-02-17 10:33:41,5.0,I am not able to login to your app nor am I able to receive emails,exact
Caesars Entertainment,Caesars Rewards,google_play,2026-02-15 00:08:39,5.0,Thank you.,exact
Caesars Entertainment,Caesars Rewards,apple_app_store,2026-02-14 15:52:34,3.0,The app doesn’t allow to book a room. It just keeps on spinning when looking for rooms. I restarted my phone several times and it still doesn’t allow to book any room in any hotel. They need to fix it because they loosing money and customers.,exact
Caesars Entertainment,Caesars Rewards,google_play,2026-02-10 17:15:26,1.0,app is awful never works properly,exact
Caesars Entertainment,Caesars Rewards,google_play,2026-02-08 21:40:04,1.0,Not showing offers.,exact
Caesars Entertainment,Caesars Rewards,apple_app_store,2026-02-07 13:42:11,3.0,"App has a glitch and gives the response of “We are experiencing some problems right now. Please check your connection and try again. if the problem persists please check back later. 

It’s been doing this for at least a month whether I’m in the casino or not. Please Fix",exact
Caesars Entertainment,Caesars Rewards,google_play,2026-02-05 23:15:12,1.0,useless. can't even log in. account locked and remains locked even after resetting my password.,exact
